Кластер;Ключевой запрос;Частотность Google Ads;Интент;Целевая страница;Приоритет;Примечание
Основной;усадьбы в беловежской пуще;500;Коммерческий;Главная;Высокий;Главный подтвержденный запрос
Основной;отдых в беловежской пуще;500;Информационно-коммерческий;Главная;Высокий;Подтвержденный спрос
Основной;дом в пуще;500;Коммерческий;Главная;Высокий;Широкий запрос — использовать естественно
Основной;домик в пуще;500;Коммерческий;Главная;Высокий;Широкий запрос — использовать естественно
Основной;усадьбы беловежской пущи;50;Коммерческий;Главная;Высокий;Синоним главного запроса
Аренда;аренда усадьбы;500;Транзакционный;Главная;Высокий;Высокий спрос без геомодификатора
Аренда;аренда усадьбы в беловежской пуще;—;Транзакционный;Главная;Высокий;Формулировка коллеги
Аренда;аренда домика в беловежской пуще;50;Транзакционный;Главная;Высокий;Подтвержденный запрос
Аренда;аренда усадьбы на сутки;50;Транзакционный;Главная;Высокий;Подтвержденный запрос
Аренда;аренда жилья в беловежской пуще;50;Транзакционный;Главная;Средний;Подтвержденный запрос
Аренда;аренда агроусадьбы;50;Транзакционный;Главная;Средний;Синоним услуги
Аренда;агроусадьба аренда;50;Транзакционный;Главная;Средний;Синоним услуги
Посуточно;усадьбы на сутки;50;Транзакционный;Главная;Высокий;Подтвержденный запрос
Посуточно;агроусадьба на сутки;50;Транзакционный;Главная;Средний;Подтвержденный запрос
Посуточно;агроусадьба на выходные;50;Транзакционный;Главная;Средний;Подтвержденный запрос
Посуточно;усадьба посуточно;—;Транзакционный;Главная;Средний;Формулировка коллеги
Посуточно;домик посуточно;—;Транзакционный;Главная;Средний;Формулировка коллеги
Бронирование;усадьба бронирование;—;Транзакционный;Главная;Высокий;Разместить у формы и контактов
Бронирование;домик бронирование;—;Транзакционный;Главная;Высокий;Разместить у формы и контактов
Бронирование;снять усадьбу в беловежской пуще;—;Транзакционный;Главная;Высокий;Главный коммерческий вариант
Бронирование;снять домик возле беловежской пущи;50;Транзакционный;Главная;Высокий;Подтвержденный запрос
Бронирование;снять домик в беловежской пуще;—;Транзакционный;Главная;Высокий;Формулировка коллеги
Цена;отдых в беловежской пуще цены;50;Транзакционный;Главная#стоимость;Высокий;Подтвержденный запрос
Цена;аренда усадьбы цена;—;Транзакционный;Главная#стоимость;Высокий;Формулировка коллеги
Цена;аренда домика цена;—;Транзакционный;Главная#стоимость;Высокий;Формулировка коллеги
География;усадьба брестская область;—;Коммерческий;Главная;Высокий;Подтверждается адресом
География;усадьба под брестом;—;Коммерческий;Главная;Средний;Не утверждать близость без расстояния
География;домик брестская область;—;Коммерческий;Главная;Высокий;Подтверждается адресом
География;домик под брестом;—;Коммерческий;Главная;Средний;Не утверждать близость без расстояния
Удобства;агроусадьба с баней;50;Коммерческий;Главная;Высокий;Подтверждено сайтом
Удобства;домики с камином;50;Коммерческий;Главная;Высокий;Подтверждено сайтом
Удобства;дом с камином в лесу аренда;50;Транзакционный;Главная;Средний;Подтверждено сайтом
Удобства;домики в лесу с баней;50;Коммерческий;Главная;Средний;Подтверждено сайтом
Не целевой;санатории в беловежской пуще;50;Информационно-коммерческий;—;Исключить;Усадьба не санаторий
Не целевой;агроусадьбы глубокое;50;Навигационный;—;Исключить;Другая география
Не целевой;агроусадьба фазенда;50;Навигационный;—;Исключить;Чужой бренд
Не целевой;агроусадьба легенда;50;Навигационный;—;Исключить;Чужой бренд
